[1209/042556.132:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[1210/032350.213:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/032353.220:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/032531.634:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/032534.635:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/033521.217:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/033643.730:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/033646.685:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/033648.745:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/033955.434:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/033958.385:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/034000.449:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/034003.401:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/034005.455:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/034650.015:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/034653.984:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/034655.026:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/034657.480:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/034659.003:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/034700.036:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/035207.494:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/035210.493:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/040011.655:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/040014.663:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/040015.215:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/040016.663:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/040121.322:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/040124.336:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/040838.186:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/040841.209:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/052623.910:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
